"","county","year","fips","state","overall_food_insecurity_rate","number_of_food_insecure_persons_overall","low_threshold_in_state","low_threshold_type","high_threshold_in_state","high_threshold_type","percent_fi_low_threshold","percent_fi_btwn_thresholds","percent_fi_high_threshold","percent_fi_low_threshold_2","child_food_insecurity_rate","number_of_food_insecure_children","percent_food_insecure_children_in_hh_w_hh_incomes_below_185_fpl","percent_food_insecure_children_in_hh_w_hh_incomes_above_185_fpl","cost_per_meal","weighted_annual_food_budget_shortfall","compare_group","latitude","longitude","labor_force_avg","employment_avg","unemployment_avg","unemployment_rate_avg","avg_snap_benefit","avg_snap_benefit_per_meal","snap_meal_cost_diff"
"180","Kern County",2021,6029,"CA",13,117710,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.4%",NA,NA,"15.6%","18.2%","47,970","79%","21%",3.57,"$74,173,000","2",35.3428386484,-118.729938045,385858.333333333,347558.333333333,38283.3333333333,0.0993333333333333,216.53,2.37,1.2
"181","Kings County",2010,6031,"CA",20.1,30400,"130.0%","SNAP","185.0%","Other Nutrition Program","49.9%","24.0%","26.1%","NA","32.2%","13180","73%","27%",2.31,"$12,087,630","1",36.075306112,-119.815547843,59575,49741.6666666667,9833.33333333333,0.16525,146.46,1.61,0.7
"182","Kings County",2011,6031,"CA",19.9,30360,"130%","SNAP","185%","Other Nutrition Program","51.3%","20.1%","28.6%","NA","32.0%","13540","77%","23%",2.58,"$12,769,750.00","1",36.075306112,-119.815547843,59083.3333333333,49516.6666666667,9550,0.161916666666667,147.06,1.61,0.97
"183","Kings County",2012,6031,"CA",18.4,28010,"130%","SNAP","185%","Other Nutrition Program","57.0%","17.6%","25.4%","NA","31.1%","13,100","80%","20%",2.7,"$13,232,000.00","1",36.075306112,-119.815547843,58725,49833.3333333333,8891.66666666667,0.151166666666667,149.05,1.63,1.07
"184","Kings County",2013,6031,"CA",16.2,24550,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","86.9%","0.0%","13.1%","NA","29.2%","12,300","83%","17%",2.73,"$11,866,000.00","1",36.075306112,-119.815547843,58025,50166.6666666667,7866.66666666667,0.135916666666667,151.44,1.66,1.07
"185","Kings County",2014,6031,"CA",15.6,23590,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","90.1%",NA,"9.9%","NA","27.9%","11,680","82%","18%",2.98,"$12,431,000.00","1",36.075306112,-119.815547843,57366.6666666667,50458.3333333333,6916.66666666667,0.1205,141.99,1.56,1.42
"186","Kings County",2015,6031,"CA",13.8,20780,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","91.8%",NA,"8.2%","NA","25.4%","10,570","82%","18%",3.11,"$11,605,000.00","1",36.075306112,-119.815547843,57741.6666666667,51633.3333333333,6100,0.10575,142,1.56,1.55
"187","Kings County",2016,6031,"CA",13.6,20410,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","96.5%",NA,"3.5%","NA","24.2%","10,000","81%","19%",2.98,"$10,404,000.00","1",36.075306112,-119.815547843,57166.6666666667,51441.6666666667,5691.66666666667,0.0998333333333333,138.97,1.52,1.46
"188","Kings County",2017,6031,"CA",13.2,19880,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","91.2%",NA,"8.8%","NA","22.9%","9,430","77%","23%",2.97,"$10,092,000.00","1",36.075306112,-119.815547843,57266.6666666667,52116.6666666667,5125,0.0896666666666667,136.44,1.5,1.47
"189","Kings County",2018,6031,"CA",14.4,21690,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","86.9%",NA,"13.1%","NA","21.1%","8630","81%","19%",3.07,"$11,253,000.00","1",36.075306112,-119.815547843,57491.6666666667,52958.3333333333,4533.33333333333,0.0785833333333333,136.22,1.49,1.58
"190","Kings County",2019,6031,"CA",13.4,20220,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.9%",NA,"14.1%","14.1%","20.1%","8,230","80%","20%",3.01,"$10,398,000","2",36.075306112,-119.815547843,57933.3333333333,53316.6666666667,4608.33333333333,0.0793333333333333,141.13,1.55,1.46
"191","Kings County",2020,6031,"CA",12.6,19010,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","83.3%",NA,"16.7%","16.7%","21.0%","8,610","81%","19%",3.19,"$9,761,000","2",36.075306112,-119.815547843,57100,50350,6783.33333333333,0.118416666666667,151.1,1.66,1.53
"192","Kings County",2021,6031,"CA",12.1,18370,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.8%",NA,NA,"19.2%","17.8%","7,360","77%","23%",3.56,"$11,557,000","2",36.075306112,-119.815547843,55441.6666666667,50083.3333333333,5383.33333333333,0.09675,216.53,2.37,1.19
"193","Lake County",2010,6033,"CA",22.4,14400,"130.0%","SNAP","185.0%","Other Nutrition Program","57.3%","18.4%","24.3%","NA","32.8%","4450","77%","23%",2.95,"$7,312,070","1",39.0996074075,-122.753384296,29900.8333333333,25279.1666666667,4619.16666666667,0.154583333333333,146.46,1.61,1.34
"194","Lake County",2011,6033,"CA",20.2,12990,"130%","SNAP","185%","Other Nutrition Program","57.8%","19.3%","22.9%","NA","32.7%","4530","76%","24%",3.22,"$6,819,080.00","1",39.0996074075,-122.753384296,29581.6666666667,25210.8333333333,4372.5,0.14775,147.06,1.61,1.61
"195","Lake County",2012,6033,"CA",19.9,12800,"130%","SNAP","185%","Other Nutrition Program","66.0%","17.1%","16.9%","NA","32.0%","4,370","79%","21%",3.3,"$7,405,000.00","1",39.0996074075,-122.753384296,29460.8333333333,25635,3826.66666666667,0.129916666666667,149.05,1.63,1.67
"196","Lake County",2013,6033,"CA",19.7,12690,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","88.1%","0.0%","11.9%","NA","32.4%","4,320","83%","17%",3.48,"$7,825,000.00","1",39.0996074075,-122.753384296,29163.3333333333,25945,3220,0.110583333333333,151.44,1.66,1.82
"197","Lake County",2014,6033,"CA",18.1,11590,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","90.0%",NA,"10.0%","NA","29.6%","3,910","80%","20%",3.54,"$7,236,000.00","1",39.0996074075,-122.753384296,29230,26584.1666666667,2645.83333333333,0.0905833333333333,141.99,1.56,1.98
"198","Lake County",2015,6033,"CA",17.9,11490,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","89.1%",NA,"10.9%","NA","26.8%","3,520","84%","17%",3.7,"$7,614,000.00","1",39.0996074075,-122.753384296,29007.5,26789.1666666667,2216.66666666667,0.0763333333333333,142,1.56,2.14
"199","Lake County",2016,6033,"CA",17,10900,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","87.6%",NA,"12.4%","NA","24.5%","3,200","82%","18%",3.76,"$7,001,000.00","1",39.0996074075,-122.753384296,29066.6666666667,27108.3333333333,1959.16666666667,0.0675,138.97,1.52,2.24
"200","Lake County",2017,6033,"CA",15.6,9980,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.4%",NA,"15.6%","NA","23.2%","3,050","79%","21%",3.67,"$6,246,000.00","1",39.0996074075,-122.753384296,29302.5,27598.3333333333,1704.16666666667,0.0580833333333333,136.44,1.5,2.17
"201","Lake County",2018,6033,"CA",15.7,10050,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","86.1%",NA,"13.9%","NA","23.1%","3070","76%","24%",3.92,"$6,666,000.00","1",39.0996074075,-122.753384296,29071.6666666667,27531.6666666667,1540.83333333333,0.0529166666666667,136.22,1.49,2.43
"202","Lake County",2019,6033,"CA",15,9640,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","78.6%",NA,"21.4%","21.4%","20.9%","2,800","77%","23%",3.98,"$6,557,000","2",39.0996074075,-122.753384296,29065,27576.6666666667,1487.5,0.0510833333333333,141.13,1.55,2.43
"203","Lake County",2020,6033,"CA",15,9610,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","79.4%",NA,"20.6%","20.6%","21.9%","2,960","74%","27%",3.99,"$6,175,000","2",39.0996074075,-122.753384296,28514.1666666667,25729.1666666667,2784.16666666667,0.0978333333333333,151.1,1.66,2.33
"204","Lake County",2021,6033,"CA",13.4,9070,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","83.5%",NA,NA,"16.5%","18.2%","2,640","74%","26%",4.4,"$7,049,000","2",39.0996074075,-122.753384296,28445.8333333333,26274.1666666667,2170,0.0761666666666667,216.53,2.37,2.03
"205","Lassen County",2010,6035,"CA",19.1,6700,"130.0%","SNAP","185.0%","Other Nutrition Program","30.6%","6.3%","63.1%","NA","25.4%","1520","52%","48%",2.79,"$3,217,620","1",40.6735197906,-120.594276729,12118.3333333333,10375,1745,0.143916666666667,146.46,1.61,1.18
"206","Lassen County",2011,6035,"CA",17.4,6080,"130%","SNAP","185%","Other Nutrition Program","31.2%","10.3%","58.5%","NA","23.2%","1410","56%","44%",2.97,"$2,943,880.00","1",40.6735197906,-120.594276729,11771.6666666667,10150.8333333333,1622.5,0.13775,147.06,1.61,1.36
"207","Lassen County",2012,6035,"CA",17.4,6030,"130%","SNAP","185%","Other Nutrition Program","33.8%","9.1%","57.1%","NA","25.2%","1,440","57%","43%",3.14,"$3,314,000.00","1",40.6735197906,-120.594276729,11450,10000,1448.33333333333,0.127,149.05,1.63,1.51
"208","Lassen County",2013,6035,"CA",17.7,6040,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","44.3%","0.0%","55.7%","NA","28.1%","1,520","61%","39%",3.37,"$3,598,000.00","1",40.6735197906,-120.594276729,10968.3333333333,9792.5,1177.5,0.1075,151.44,1.66,1.71
"209","Lassen County",2014,6035,"CA",17.1,5720,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","43.8%",NA,"56.2%","NA","28.2%","1,410","58%","42%",3.42,"$3,453,000.00","1",40.6735197906,-120.594276729,10797.5,9804.16666666667,995,0.0920833333333333,141.99,1.56,1.86
"210","Lassen County",2015,6035,"CA",16.1,5240,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","43.0%",NA,"57.0%","NA","25.2%","1,240","59%","41%",3.55,"$3,335,000.00","1",40.6735197906,-120.594276729,10761.6666666667,9978.33333333333,782.5,0.07275,142,1.56,1.99
"211","Lassen County",2016,6035,"CA",15.5,4940,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","48.4%",NA,"51.6%","NA","23.3%","1,220","67%","33%",3.68,"$3,104,000.00","1",40.6735197906,-120.594276729,10361.6666666667,9640.83333333333,720.833333333333,0.0695,138.97,1.52,2.16
"212","Lassen County",2017,6035,"CA",13.9,4380,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","47.1%",NA,"52.9%","NA","20.7%","1,040","66%","34%",3.63,"$2,717,000.00","1",40.6735197906,-120.594276729,10026.6666666667,9470.83333333333,557.5,0.05575,136.44,1.5,2.13
"213","Lassen County",2018,6035,"CA",12.5,3910,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","48.3%",NA,"51.7%","NA","19.9%","980","62%","38%",3.88,"$2,568,000.00","1",40.6735197906,-120.594276729,9854.16666666667,9378.33333333333,475,0.04825,136.22,1.49,2.39
"214","Lassen County",2019,6035,"CA",12.3,3790,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","47.2%",NA,"52.8%","52.8%","18.9%","870","63%","37%",3.92,"$2,540,000","2",40.6735197906,-120.594276729,9735.83333333333,9283.33333333333,452.5,0.0465,141.13,1.55,2.37
"215","Lassen County",2020,6035,"CA",11.2,3430,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","48.1%",NA,"51.9%","51.9%","15.7%","780","67%","33%",3.8,"$2,096,000","2",40.6735197906,-120.594276729,9428.33333333333,8734.16666666667,696.666666666667,0.0739166666666667,151.1,1.66,2.14
"216","Lassen County",2021,6035,"CA",10.4,3410,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","60.1%",NA,NA,"39.9%","14.4%","780","88%","12%",4.21,"$2,536,000","2",40.6735197906,-120.594276729,9155,8598.33333333333,557.5,0.06075,216.53,2.37,1.84
"217","Los Angeles County",2010,6037,"CA",16.8,1636110,"130.0%","SNAP","185.0%","Other Nutrition Program","52.0%","23.4%","24.6%","NA","26.6%","643640","69%","31%",2.67,"$751,933,430","1",34.3615935047,-118.216981811,4940550,4319341.66666667,621204.166666667,0.125708333333333,146.46,1.61,1.06
"218","Los Angeles County",2011,6037,"CA",17.9,1749600,"130%","SNAP","185%","Other Nutrition Program","54.2%","19.6%","26.2%","NA","26.8%","650480","70%","30%",2.86,"$815,765,960.00","1",34.3615935047,-118.216981811,4941200,4336750,604441.666666667,0.122291666666667,147.06,1.61,1.25
"219","Los Angeles County",2012,6037,"CA",16.3,1603910,"130%","SNAP","185%","Other Nutrition Program","60.3%","17.3%","22.4%","NA","25.8%","620,090","72%","28%",2.9,"$815,943,000.00","1",34.3615935047,-118.216981811,4905337.5,4365883.33333333,539462.5,0.109958333333333,149.05,1.63,1.27
"220","Los Angeles County",2013,6037,"CA",14.7,1452130,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","87.9%","0.0%","12.1%","NA","24.9%","590,910","74%","26%",3.08,"$790,382,000.00","1",34.3615935047,-118.216981811,4956375,4472183.33333333,484195.833333333,0.0978333333333333,151.44,1.66,1.42
"221","Los Angeles County",2014,6037,"CA",14,1393170,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","91.9%",NA,"8.1%","NA","22.8%","536,100","72%","28%",3.15,"$774,124,000.00","1",34.3615935047,-118.216981811,4982550,4572191.66666667,410354.166666667,0.0824166666666667,141.99,1.56,1.59
"222","Los Angeles County",2015,6037,"CA",12.2,1224940,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","94.6%",NA,"5.4%","NA","20.7%","481,540","73%","28%",3.28,"$721,464,000.00","1",34.3615935047,-118.216981811,4973995.83333333,4641504.16666667,332487.5,0.0668333333333333,142,1.56,1.72
"223","Los Angeles County",2016,6037,"CA",11.4,1147010,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","99.0%",NA,"1.0%","NA","19.1%","439,010","72%","28%",3.32,"$649,879,000.00","1",34.3615935047,-118.216981811,5019045.83333333,4751091.66666667,267970.833333333,0.0533333333333333,138.97,1.52,1.8
"224","Los Angeles County",2017,6037,"CA",11.2,1135710,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","92.7%",NA,"7.3%","NA","18.2%","413,910","69%","31%",3.39,"$656,932,000.00","1",34.3615935047,-118.216981811,5109608.33333333,4863729.16666667,245879.166666667,0.0481666666666667,136.44,1.5,1.89
"225","Los Angeles County",2018,6037,"CA",11.4,1146290,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","86.7%",NA,"13.3%","NA","15.2%","342250","76%","24%",3.46,"$672,171,000.00","1",34.3615935047,-118.216981811,5119462.5,4881933.33333333,237529.166666667,0.0464583333333333,136.22,1.49,1.97
"226","Los Angeles County",2019,6037,"CA",10.7,1079900,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.0%",NA,"16.0%","16.0%","14.5%","321,690","74%","26%",3.47,"$640,658,000","2",34.3615935047,-118.216981811,5152070.83333333,4921100,230950,0.044875,141.13,1.55,1.92
"227","Los Angeles County",2020,6037,"CA",12.7,1271040,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","76.8%",NA,"23.2%","23.2%","20.1%","438,950","73%","27%",3.69,"$755,450,000","2",34.3615935047,-118.216981811,4959316.66666667,4349545.83333333,609766.666666667,0.123875,151.1,1.66,2.03
"228","Los Angeles County",2021,6037,"CA",11.3,1132600,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.6%",NA,NA,"27.4%","15.5%","336,120","69%","32%",3.88,"$775,530,000","2",34.3615935047,-118.216981811,4994383.33333333,4548087.5,446295.833333333,0.0893333333333333,216.53,2.37,1.51
"229","Madera County",2010,6039,"CA",19,28040,"130.0%","SNAP","185.0%","Other Nutrition Program","55.8%","27.2%","17.0%","NA","32.3%","13370","76%","24%",2.98,"$14,383,010","1",37.21816377,-119.762685404,61750,51241.6666666667,10508.3333333333,0.17025,146.46,1.61,1.37
"230","Madera County",2011,6039,"CA",18.2,27230,"130%","SNAP","185%","Other Nutrition Program","59.5%","19.3%","21.3%","NA","32.2%","13750","81%","19%",3.29,"$14,605,090.00","1",37.21816377,-119.762685404,61966.6666666667,51783.3333333333,10183.3333333333,0.164416666666667,147.06,1.61,1.68
"231","Madera County",2012,6039,"CA",16.2,24340,"130%","SNAP","185%","Other Nutrition Program","69.1%","18.3%","12.6%","NA","30.6%","13,100","85%","15%",3.2,"$13,635,000.00","1",37.21816377,-119.762685404,62433.3333333333,53266.6666666667,9158.33333333333,0.14675,149.05,1.63,1.57
"232","Madera County",2013,6039,"CA",13.8,20950,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","100.0%","0.0%","0.0%","NA","28.3%","12,130","89%","11%",3.33,"$12,355,000.00","1",37.21816377,-119.762685404,62075,54175,7908.33333333333,0.127333333333333,151.44,1.66,1.67
"233","Madera County",2014,6039,"CA",13.4,20380,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","100.0%",NA,"0.0%","NA","26.4%","11,320","84%","16%",3.54,"$12,738,000.00","1",37.21816377,-119.762685404,61716.6666666667,54725,6983.33333333333,0.113083333333333,141.99,1.56,1.98
"234","Madera County",2015,6039,"CA",12,18410,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","100.0%",NA,"0.0%","NA","25.2%","10,780","82%","18%",3.67,"$12,101,000.00","1",37.21816377,-119.762685404,59816.6666666667,53483.3333333333,6333.33333333333,0.105666666666667,142,1.56,2.11
"235","Madera County",2016,6039,"CA",11.4,17540,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","100.0%",NA,"0.0%","NA","23.8%","10,160","84%","17%",3.79,"$11,369,000.00","1",37.21816377,-119.762685404,61050,55416.6666666667,5658.33333333333,0.09275,138.97,1.52,2.27
"236","Madera County",2017,6039,"CA",11.4,17570,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","98.7%",NA,"1.3%","NA","22.6%","9,660","77%","23%",3.74,"$11,203,000.00","1",37.21816377,-119.762685404,60908.3333333333,55933.3333333333,5000,0.0816666666666667,136.44,1.5,2.24
"237","Madera County",2018,6039,"CA",13.2,20530,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","95.2%",NA,"4.8%","NA","20.4%","8750","84%","17%",3.97,"$13,794,000.00","1",37.21816377,-119.762685404,61241.6666666667,56900,4350,0.071,136.22,1.49,2.48
"238","Madera County",2019,6039,"CA",12.6,19620,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","89.1%",NA,"10.9%","10.9%","19.9%","8,530","80%","20%",3.81,"$12,764,000","2",37.21816377,-119.762685404,62225,57900,4316.66666666667,0.06925,141.13,1.55,2.26
"239","Madera County",2020,6039,"CA",12.6,19680,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","84.0%",NA,"16.0%","16.0%","21.5%","9,210","82%","18%",4,"$12,674,000","2",37.21816377,-119.762685404,62066.6666666667,55175,6891.66666666667,0.1115,151.1,1.66,2.34
"240","Madera County",2021,6039,"CA",12.4,19340,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.9%",NA,NA,"19.1%","17.9%","7,750","74%","26%",4.22,"$14,411,000","2",37.21816377,-119.762685404,62208.3333333333,56758.3333333333,5475,0.088,216.53,2.37,1.85
"241","Marin County",2010,6041,"CA",12.3,30540,"130.0%","SNAP","185.0%","Other Nutrition Program","30.0%","9.7%","60.2%","NA","16.8%","8530","39%","61%",3.06,"$16,085,930","1",38.0728900672,-122.71915116,132958.333333333,122258.333333333,10716.6666666667,0.0805833333333333,146.46,1.61,1.45
"242","Marin County",2011,6041,"CA",11.5,28770,"130%","SNAP","185%","Other Nutrition Program","30.6%","14.0%","55.4%","NA","15.8%","8200","42%","58%",3.25,"$15,243,480.00","1",38.0728900672,-122.71915116,134241.666666667,124300,9941.66666666667,0.074,147.06,1.61,1.64
"243","Marin County",2012,6041,"CA",11.5,29130,"130%","SNAP","185%","Other Nutrition Program","33.7%","13.6%","52.7%","NA","17.1%","8,900","42%","58%",3.34,"$17,030,000.00","1",38.0728900672,-122.71915116,136516.666666667,127808.333333333,8733.33333333333,0.0639166666666667,149.05,1.63,1.71
"244","Marin County",2013,6041,"CA",11.9,30220,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","50.5%","0.0%","49.5%","NA","17.6%","9,250","47%","53%",3.74,"$20,019,000.00","1",38.0728900672,-122.71915116,137816.666666667,130583.333333333,7208.33333333333,0.05225,151.44,1.66,2.08
"245","Marin County",2014,6041,"CA",11.5,29620,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","51.3%",NA,"48.7%","NA","17.1%","9,050","45%","55%",3.79,"$19,820,000.00","1",38.0728900672,-122.71915116,138475,132483.333333333,5991.66666666667,0.04325,141.99,1.56,2.23
"246","Marin County",2015,6041,"CA",11.5,29680,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","50.9%",NA,"49.1%","NA","16.0%","8,490","48%","52%",4.01,"$21,344,000.00","1",38.0728900672,-122.71915116,138683.333333333,133708.333333333,4975,0.03575,142,1.56,2.45
"247","Marin County",2016,6041,"CA",10.5,27240,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","50.6%",NA,"49.4%","NA","13.5%","7,160","51%","50%",4.32,"$20,112,000.00","1",38.0728900672,-122.71915116,139641.666666667,135041.666666667,4600,0.0328333333333333,138.97,1.52,2.8
"248","Marin County",2017,6041,"CA",9.5,24840,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","52.5%",NA,"47.5%","NA","13.6%","7,200","47%","54%",4.38,"$18,576,000.00","1",38.0728900672,-122.71915116,139633.333333333,135583.333333333,4050,0.029,136.44,1.5,2.88
"249","Marin County",2018,6041,"CA",7.4,19260,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","52.1%",NA,"47.9%","NA","8.4%","4460","57%","43%",4.61,"$15,025,000.00","1",38.0728900672,-122.71915116,139725,136316.666666667,3408.33333333333,0.0243333333333333,136.22,1.49,3.12
"250","Marin County",2019,6041,"CA",7.4,19210,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","49.8%",NA,"50.2%","50.2%","6.5%","3,440","74%","26%",4.59,"$15,085,000","2",38.0728900672,-122.71915116,138883.333333333,135641.666666667,3241.66666666667,0.0233333333333333,141.13,1.55,3.04
"251","Marin County",2020,6041,"CA",7.5,19470,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","52.2%",NA,"47.8%","47.8%","5.3%","2,760","89%","11%",4.94,"$15,475,000","2",38.0728900672,-122.71915116,130908.333333333,122016.666666667,8875,0.06875,151.1,1.66,3.28
"252","Marin County",2021,6041,"CA",6.9,18160,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","50.9%",NA,NA,"49.1%","3.7%","1,960","100%","0%",5.26,"$16,867,000","2",38.0728900672,-122.71915116,129491.666666667,123591.666666667,5875,0.0454166666666667,216.53,2.37,2.89
"253","Mariposa County",2010,6043,"CA",16.8,3070,"130.0%","SNAP","185.0%","Other Nutrition Program","43.7%","14.9%","41.4%","NA","25.1%","860","53%","47%",4.04,"$2,134,890","1",37.5813163577,-119.906074042,8719.16666666667,7563.33333333333,1158.33333333333,0.133666666666667,146.46,1.61,2.43
"254","Mariposa County",2011,6043,"CA",15,2750,"130%","SNAP","185%","Other Nutrition Program","43.1%","28.9%","27.9%","NA","28.1%","950","67%","33%",2.67,"$1,197,030.00","1",37.5813163577,-119.906074042,8650,7490.83333333333,1160,0.134833333333333,147.06,1.61,1.06
"255","Mariposa County",2012,6043,"CA",15.3,2780,"130%","SNAP","185%","Other Nutrition Program","44.3%","22.4%","33.3%","NA","26.7%","860","62%","38%",2.68,"$1,306,000.00","1",37.5813163577,-119.906074042,8359.16666666667,7322.5,1039.16666666667,0.125416666666667,149.05,1.63,1.05
"256","Mariposa County",2013,6043,"CA",16.6,2990,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.0%","0.0%","28.0%","NA","27.9%","870","64%","36%",2.82,"$1,493,000.00","1",37.5813163577,-119.906074042,8205,7329.16666666667,874.166666666667,0.107833333333333,151.44,1.66,1.16
"257","Mariposa County",2014,6043,"CA",16.3,2920,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","68.0%",NA,"32.0%","NA","27.0%","840","59%","41%",2.91,"$1,500,000.00","1",37.5813163577,-119.906074042,8075,7357.5,717.5,0.0901666666666667,141.99,1.56,1.35
"258","Mariposa County",2015,6043,"CA",15.8,2820,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","65.8%",NA,"34.2%","NA","23.3%","690","58%","42%",3,"$1,519,000.00","1",37.5813163577,-119.906074042,8011.66666666667,7438.33333333333,577.5,0.07275,142,1.56,1.44
"259","Mariposa County",2016,6043,"CA",15.6,2750,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","64.1%",NA,"35.9%","NA","21.9%","640","65%","35%",3.03,"$1,425,000.00","1",37.5813163577,-119.906074042,7567.5,7048.33333333333,520,0.06925,138.97,1.52,1.51
"260","Mariposa County",2017,6043,"CA",14.2,2510,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","68.3%",NA,"31.7%","NA","20.2%","580","65%","35%",3.14,"$1,343,000.00","1",37.5813163577,-119.906074042,7653.33333333333,7203.33333333333,450.833333333333,0.0596666666666667,136.44,1.5,1.64
"261","Mariposa County",2018,6043,"CA",13.4,2350,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","74.9%",NA,"25.1%","NA","21.0%","600","65%","35%",3.22,"$1,282,000.00","1",37.5813163577,-119.906074042,7650.83333333333,7242.5,410,0.0536666666666667,136.22,1.49,1.73
"262","Mariposa County",2019,6043,"CA",14.1,2450,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","74.3%",NA,"25.7%","25.7%","22.2%","630","68%","32%",3.17,"$1,328,000","2",37.5813163577,-119.906074042,7637.5,7286.66666666667,351.666666666667,0.0463333333333333,141.13,1.55,1.62
"263","Mariposa County",2020,6043,"CA",14.9,2580,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","77.2%",NA,"22.8%","22.8%","22.8%","650","67%","33%",4,"$1,662,000","2",37.5813163577,-119.906074042,7215.83333333333,6413.33333333333,803.333333333333,0.111666666666667,151.1,1.66,2.34
"264","Mariposa County",2021,6043,"CA",12.3,2110,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","85.1%",NA,NA,"14.9%","17.8%","520","62%","38%",4.22,"$1,572,000","2",37.5813163577,-119.906074042,7053.33333333333,6492.5,560,0.0805833333333333,216.53,2.37,1.85
