"","year","county","fips","state","overall_food_insecurity_rate","number_of_food_insecure_persons_overall","low_threshold_in_state","low_threshold_type","high_threshold_in_state","high_threshold_type","percent_fi_low_threshold","percent_fi_btwn_thresholds","percent_fi_high_threshold","percent_fi_low_threshold_2","child_food_insecurity_rate","number_of_food_insecure_children","percent_food_insecure_children_in_hh_w_hh_incomes_below_185_fpl","percent_food_insecure_children_in_hh_w_hh_incomes_above_185_fpl","cost_per_meal","weighted_annual_food_budget_shortfall","compare_group","latitude.x","longitude.x","labor_force_avg","employment_avg","unemployment_avg","unemployment_rate_avg","avg_snap_benefit","avg_snap_benefit_per_meal","snap_meal_cost_diff","population","all_returns","agi","median_income","median_rank","joint_returns","joint_returns_median_income","joint_returns_median_rank","tax_assessed","latitude.y","longitude.y","new_georeferenced_column"
"119",2012,"Amador County",6005,"CA",14.5,5460,"130%","SNAP","185%","Other Nutrition Program","33.8%","19.2%","47.0%","NA","23.4%","1,480","60%","40%",3.55,"$3,396,000.00","1",38.4461173773,-120.65157196,14646.6666666667,12822.5,1822.5,0.124583333333333,149.05,1.63,1.92,36471,14263,767187000,37639,16,7236,59154,29,25598000,38.47216216,-120.5741948,"POINT (-120.5741948 38.47216216)"
"120",2012,"Butte County",6007,"CA",18.2,40160,"130%","SNAP","185%","Other Nutrition Program","60.1%","18.5%","21.4%","NA","27.3%","12,580","75%","25%",2.77,"$19,479,000.00","1",39.6670113073,-121.600718282,100825,88358.3333333333,12466.6666666667,0.1235,149.05,1.63,1.14,221056,78869,3879137000,30673,42,33423,56476,35,133406000,39.59127291,-121.6728818,"POINT (-121.6728818 39.59127291)"
"121",2012,"Calaveras County",6009,"CA",14.7,6670,"130%","SNAP","185%","Other Nutrition Program","37.7%","20.6%","41.7%","NA","22.3%","1,950","53%","47%",3.4,"$3,971,000.00","1",38.2050147927,-120.553756737,20166.6666666667,17635,2530.83333333333,0.125583333333333,149.05,1.63,1.77,45683,17363,921223000,36672,20,8988,57975,31,31330000,38.25462698,-120.4657376,"POINT (-120.4657376 38.25462698)"
"122",2012,"Colusa County",6011,"CA",17.6,3760,"130%","SNAP","185%","Other Nutrition Program","59.1%","18.6%","22.3%","NA","32.5%","2,060","84%","16%",3.97,"$2,611,000.00","1",39.1775362451,-122.237100273,11270,8902.5,2370.83333333333,0.212,149.05,1.63,2.34,21472,8797,455572000,29393,47,3967,44900,57,20352000,39.16798125,-122.2990667,"POINT (-122.2990667 39.16798125)"
"123",2012,"Contra Costa County",6013,"CA",13.2,139290,"130%","SNAP","185%","Other Nutrition Program","40.0%","15.0%","45.0%","NA","19.5%","50,760","54%","47%",2.98,"$72,662,000.00","1",37.9155346665,-121.927176832,534516.666666667,485933.333333333,48591.6666666667,0.0910833333333333,149.05,1.63,1.35,1069607,442593,40198232000,47140,5,186700,93367,5,2250938000,37.98817952,-121.9371402,"POINT (-121.9371402 37.98817952)"
"124",2012,"Del Norte County",6015,"CA",18.8,5370,"130%","SNAP","185%","Other Nutrition Program","53.4%","16.1%","30.5%","NA","30.2%","1,830","79%","21%",3.02,"$2,837,000.00","1",41.7434380162,-123.896950371,10479.1666666667,9040.83333333333,1441.66666666667,0.137333333333333,149.05,1.63,1.39,28462,7767,347699000,31660,34,3510,55353,39,10027000,41.70557047,-123.8920045,"POINT (-123.8920045 41.70557047)"
"125",2012,"El Dorado County",6017,"CA",12.9,23250,"130%","SNAP","185%","Other Nutrition Program","33.1%","16.6%","50.3%","NA","20.2%","8,240","50%","50%",3.71,"$15,119,000.00","1",38.7787541226,-120.525262109,88866.6666666667,79641.6666666667,9233.33333333333,0.103916666666667,149.05,1.63,2.08,182845,69278,5459311000,45735,7,35616,82706,8,243057000,38.76394197,-120.6060593,"POINT (-120.6060593 38.76394197)"
"126",2012,"Fresno County",6019,"CA",18.9,176000,"130%","SNAP","185%","Other Nutrition Program","72.2%","14.1%","13.7%","NA","32.3%","89,500","82%","18%",2.58,"$79,385,000.00","1",36.7583709705,-119.651022678,439483.333333333,371975,67525,0.1535,149.05,1.63,0.95,948790,325315,15338943000,28165,54,124733,54281,42,575443000,36.81276025,-119.6826941,"POINT (-119.6826941 36.81276025)"
"127",2012,"Glenn County",6021,"CA",17,4780,"130%","SNAP","185%","Other Nutrition Program","65.5%","16.7%","17.8%","NA","28.7%","2,240","80%","20%",2.84,"$2,380,000.00","1",39.5983656482,-122.392092433,13130,11238.3333333333,1892.5,0.144083333333333,149.05,1.63,1.21,28136,10429,463279000,29366,48,4833,46871,49,15349000,39.59028676,-122.0780968,"POINT (-122.0780968 39.59028676)"
"128",2012,"Humboldt County",6023,"CA",18,24160,"130%","SNAP","185%","Other Nutrition Program","57.9%","20.9%","21.1%","NA","26.3%","7,070","72%","28%",2.71,"$11,447,000.00","1",40.6986310325,-123.873713677,64133.3333333333,57883.3333333333,6250,0.0973333333333333,149.05,1.63,1.08,134644,47183,1951858000,30799,41,18531,57536,33,67068000,40.86148517,-123.8585124,"POINT (-123.8585124 40.86148517)"
"129",2012,"Imperial County",6025,"CA",22.7,39340,"130%","SNAP","185%","Other Nutrition Program","65.1%","13.5%","21.4%","NA","38.8%","19,620","84%","16%",2.4,"$16,512,000.00","1",33.0396666316,-115.365267034,79350,57366.6666666667,21991.6666666667,0.277166666666667,149.05,1.63,0.77,178204,60030,2440333000,23880,58,25670,38858,58,69028000,33.07729374,-114.7515356,"POINT (-114.7515356 33.07729374)"
"130",2012,"Inyo County",6027,"CA",14.3,2640,"130%","SNAP","185%","Other Nutrition Program","43.3%","22.6%","34.1%","NA","23.1%","900","62%","38%",2.74,"$1,269,000.00","1",36.5112075686,-117.410731439,9535.83333333333,8656.66666666667,880,0.0923333333333333,149.05,1.63,1.11,18904,7982,401696000,34838,26,3430,66352,21,12559000,36.63350255,-118.2559592,"POINT (-118.2559592 36.63350255)"
"131",2012,"Kern County",6029,"CA",17.1,143310,"130%","SNAP","185%","Other Nutrition Program","70.1%","14.6%","15.2%","NA","29.7%","75,340","80%","20%",2.66,"$66,715,000.00","1",35.3428386484,-118.729938045,391266.666666667,339000,52266.6666666667,0.133583333333333,149.05,1.63,1.03,856282,282307,14850090000,30838,40,114819,59608,26,558299000,35.37676773,-118.8073572,"POINT (-118.8073572 35.37676773)"
"132",2012,"Kings County",6031,"CA",18.4,28010,"130%","SNAP","185%","Other Nutrition Program","57.0%","17.6%","25.4%","NA","31.1%","13,100","80%","20%",2.7,"$13,232,000.00","1",36.075306112,-119.815547843,58725,49833.3333333333,8891.66666666667,0.151166666666667,149.05,1.63,1.07,150718,42967,1873418000,29356,49,17910,50313,45,57442000,36.01947119,-120.0181641,"POINT (-120.0181641 36.01947119)"
"133",2012,"Lake County",6033,"CA",19.9,12800,"130%","SNAP","185%","Other Nutrition Program","66.0%","17.1%","16.9%","NA","32.0%","4,370","79%","21%",3.3,"$7,405,000.00","1",39.0996074075,-122.753384296,29460.8333333333,25635,3826.66666666667,0.129916666666667,149.05,1.63,1.67,64394,20730,849305000,28767,51,8970,46592,51,23812000,39.06500481,-122.6570192,"POINT (-122.6570192 39.06500481)"
"134",2012,"Lassen County",6035,"CA",17.4,6030,"130%","SNAP","185%","Other Nutrition Program","33.8%","9.1%","57.1%","NA","25.2%","1,440","57%","43%",3.14,"$3,314,000.00","1",40.6735197906,-120.594276729,11450,10000,1448.33333333333,0.127,149.05,1.63,1.51,33378,9177,467624000,40810,9,4448,66973,20,12518000,40.43255922,-120.6495591,"POINT (-120.6495591 40.43255922)"
"135",2012,"Los Angeles County",6037,"CA",16.3,1603910,"130%","SNAP","185%","Other Nutrition Program","60.3%","17.3%","22.4%","NA","25.8%","620,090","72%","28%",2.9,"$815,943,000.00","1",34.3615935047,-118.216981811,4905337.5,4365883.33333333,539462.5,0.109958333333333,149.05,1.63,1.27,9945031,4033201,269387091000,31144,36,1314453,60939,25,14519899000,34.0594833,-118.242048,"POINT (-118.242048 34.0594833)"
"136",2012,"Madera County",6039,"CA",16.2,24340,"130%","SNAP","185%","Other Nutrition Program","69.1%","18.3%","12.6%","NA","30.6%","13,100","85%","15%",3.2,"$13,635,000.00","1",37.21816377,-119.762685404,62433.3333333333,53266.6666666667,9158.33333333333,0.14675,149.05,1.63,1.57,151329,50056,2093612000,26947,56,21737,46725,50,66008000,37.09637123,-119.8904305,"POINT (-119.8904305 37.09637123)"
"137",2012,"Marin County",6041,"CA",11.5,29130,"130%","SNAP","185%","Other Nutrition Program","33.7%","13.6%","52.7%","NA","17.1%","8,900","42%","58%",3.34,"$17,030,000.00","1",38.0728900672,-122.71915116,136516.666666667,127808.333333333,8733.33333333333,0.0639166666666667,149.05,1.63,1.71,253991,119595,17840252000,54894,1,48928,127471,1,1349469000,38.03952573,-122.7299513,"POINT (-122.7299513 38.03952573)"
"138",2012,"Mariposa County",6043,"CA",15.3,2780,"130%","SNAP","185%","Other Nutrition Program","44.3%","22.4%","33.3%","NA","26.7%","860","62%","38%",2.68,"$1,306,000.00","1",37.5813163577,-119.906074042,8359.16666666667,7322.5,1039.16666666667,0.125416666666667,149.05,1.63,1.05,18361,6363,286220000,31705,33,3015,52371,43,7656000,37.72289349,-119.9767358,"POINT (-119.9767358 37.72289349)"
"139",2012,"Mendocino County",6045,"CA",16.2,14150,"130%","SNAP","185%","Other Nutrition Program","64.5%","19.9%","15.6%","NA","27.5%","5,320","78%","22%",3.23,"$7,996,000.00","1",39.440445802,-123.391375934,40861.6666666667,36694.1666666667,4167.5,0.102083333333333,149.05,1.63,1.6,88568,33507,1476610000,29196,50,13711,49737,46,135238000,39.31034149,-123.6517776,"POINT (-123.6517776 39.31034149)"
"140",2012,"Merced County",6047,"CA",19.4,49630,"130%","SNAP","185%","Other Nutrition Program","72.5%","17.5%","10.0%","NA","33.3%","26,840","85%","15%",2.73,"$23,706,000.00","1",37.1928046251,-120.717925436,114916.666666667,95850,19066.6666666667,0.165916666666667,149.05,1.63,1.1,261062,83501,3340652000,27289,55,35243,45228,56,97226000,37.1324242,-120.7167521,"POINT (-120.7167521 37.1324242)"
"141",2012,"Modoc County",6049,"CA",17.5,1670,"130%","SNAP","185%","Other Nutrition Program","62.9%","13.0%","24.1%","NA","29.6%","630","77%","23%",2.76,"$806,000.00","1",41.5897858558,-120.725182912,3606.66666666667,3080.83333333333,527.5,0.14675,149.05,1.63,1.13,9431,2748,115878000,29423,46,1335,45376,55,3768000,41.71368177,-120.943072,"POINT (-120.943072 41.71368177)"
"142",2012,"Mono County",6051,"CA",14.3,2030,"130%","SNAP","185%","Other Nutrition Program","48.3%","33.9%","17.8%","NA","21.7%","650","85%","15%",2.71,"$962,000.00","1",37.9391539251,-118.886797787,8385,7502.5,880,0.105166666666667,149.05,1.63,1.08,14377,5148,246673000,29787,45,1932,59360,27,9076000,38.34709997,-119.3327269,"POINT (-119.3327269 38.34709997)"
"143",2012,"Monterey County",6053,"CA",14.9,61810,"130%","SNAP","185%","Other Nutrition Program","61.9%","18.0%","20.1%","NA","27.1%","30,180","75%","25%",2.75,"$29,730,000.00","1",36.2172938519,-121.23941124,217391.666666667,191833.333333333,25566.6666666667,0.1185,149.05,1.63,1.12,421486,164592,9165193000,30159,43,60660,57180,34,392335000,36.32470669,-121.2968358,"POINT (-121.2968358 36.32470669)"
"144",2012,"Napa County",6055,"CA",12,16400,"130%","SNAP","185%","Other Nutrition Program","46.5%","17.9%","35.6%","NA","20.7%","6,480","64%","36%",3.34,"$9,590,000.00","1",38.5076030306,-122.330530356,71641.6666666667,65491.6666666667,6150,0.0860833333333333,149.05,1.63,1.71,138032,60630,4632029000,40494,11,25732,74306,14,257211000,38.45938161,-122.3328556,"POINT (-122.3328556 38.45938161)"
"145",2012,"Nevada County",6057,"CA",13.8,13560,"130%","SNAP","185%","Other Nutrition Program","40.9%","18.9%","40.2%","NA","22.4%","4,230","58%","42%",3.87,"$9,200,000.00","1",39.301273004,-120.768694433,48258.3333333333,43475,4782.5,0.0990833333333333,149.05,1.63,2.24,97926,40000,2357070000,35922,22,18537,64249,23,93779000,39.29548859,-120.9008733,"POINT (-120.9008733 39.29548859)"
"146",2012,"Orange County",6059,"CA",12.2,369320,"130%","SNAP","185%","Other Nutrition Program","50.8%","16.4%","32.8%","NA","21.2%","156,460","61%","39%",2.98,"$192,980,000.00","1",33.703091525,-117.761211249,1558466.66666667,1433516.66666667,124975,0.08025,149.05,1.63,1.35,3074546,1319126,104587386000,37691,15,531628,78108,9,5966846000,33.66073433,-117.9361373,"POINT (-117.9361373 33.66073433)"
"147",2012,"Placer County",6061,"CA",12.7,44630,"130%","SNAP","185%","Other Nutrition Program","33.6%","15.5%","50.9%","NA","19.7%","16,760","47%","53%",3.11,"$24,274,000.00","1",39.063936061,-120.717238332,174533.333333333,157908.333333333,16616.6666666667,0.0951666666666667,149.05,1.63,1.48,360440,161285,11788786000,46379,6,78490,83869,7,531174000,39.0316205,-120.8830665,"POINT (-120.8830665 39.0316205)"
"148",2012,"Plumas County",6063,"CA",17.5,3480,"130%","SNAP","185%","Other Nutrition Program","48.4%","27.1%","24.5%","NA","27.2%","990","100%","0%",3.8,"$2,316,000.00","1",40.0047236595,-120.838727612,8477.5,7088.33333333333,1390.83333333333,0.164833333333333,149.05,1.63,2.17,19558,7148,341629000,34484,28,3512,55851,36,9898000,40.00510655,-121.0077457,"POINT (-121.0077457 40.00510655)"
"149",2012,"Riverside County",6065,"CA",14.5,317840,"130%","SNAP","185%","Other Nutrition Program","57.7%","19.1%","23.2%","NA","25.1%","155,220","73%","27%",2.72,"$151,309,000.00","1",33.74364051,-115.994021641,985241.666666667,868741.666666667,116500,0.118166666666667,149.05,1.63,1.09,2249773,812869,40362763000,31519,35,335686,58587,30,1409309000,33.7775741,-115.4706931,"POINT (-115.4706931 33.7775741)"
"150",2012,"Sacramento County",6067,"CA",17.1,242750,"130%","SNAP","185%","Other Nutrition Program","52.0%","19.4%","28.6%","NA","24.5%","88,790","70%","30%",2.75,"$116,993,000.00","1",38.4543841802,-121.338809393,679866.666666667,607258.333333333,72608.3333333333,0.106833333333333,149.05,1.63,1.12,1435682,560661,31342983000,37051,19,215594,68324,19,1154701000,38.1923781,-121.6020643,"POINT (-121.6020643 38.1923781)"
"151",2012,"San Benito County",6069,"CA",13.7,7600,"130%","SNAP","185%","Other Nutrition Program","54.4%","14.8%","30.7%","NA","25.8%","4,130","68%","32%",3.4,"$4,526,000.00","1",36.6055494282,-121.074869757,28625,24833.3333333333,3791.66666666667,0.132583333333333,149.05,1.63,1.77,56822,22724,1238821000,35013,24,9683,69053,18,43711000,36.50024907,-121.0915105,"POINT (-121.0915105 36.50024907)"
"152",2012,"San Bernardino County",6071,"CA",15.3,311620,"130%","SNAP","185%","Other Nutrition Program","61.0%","17.8%","21.2%","NA","25.8%","152,950","75%","25%",2.66,"$145,125,000.00","1",34.8413712057,-116.178482683,890516.666666667,787258.333333333,103266.666666667,0.115833333333333,149.05,1.63,1.03,2064118,720611,34144379000,30939,38,280240,57912,32,1057215000,34.52258599,-115.5372574,"POINT (-115.5372574 34.52258599)"
"153",2012,"San Diego County",6073,"CA",14.6,451710,"130%","SNAP","185%","Other Nutrition Program","50.6%","16.5%","32.9%","NA","22.6%","163,780","64%","36%",2.96,"$234,000,000.00","1",33.03590414,-116.733115518,1536916.66666667,1394283.33333333,142650,0.09275,149.05,1.63,1.33,3153877,1305715,89329304000,37371,17,518818,73258,16,4336210000,32.78964014,-117.1936577,"POINT (-117.1936577 32.78964014)"
"154",2012,"San Francisco County",6075,"CA",16.5,133420,"130%","SNAP","185%","Other Nutrition Program","45.7%","16.7%","37.7%","NA","19.5%","21,140","55%","45%",3.5,"$81,744,000.00","1",37.7545101587,-122.442201158,508016.666666667,473025,34991.6666666667,0.069,149.05,1.63,1.87,822291,419782,51074860000,47655,4,117743,87446,6,3844556000,37.7577,-122.4376,"POINT (-122.4376 37.7577)"
"155",2012,"San Joaquin County",6077,"CA",17.9,123300,"130%","SNAP","185%","Other Nutrition Program","55.6%","19.7%","24.8%","NA","27.9%","56,060","74%","26%",2.69,"$58,174,000.00","1",37.9347888756,-121.271031094,311383.333333333,266000,45400,0.145916666666667,149.05,1.63,1.06,698073,248903,11853103000,32505,29,104243,59311,28,527163000,37.933703,-121.3444014,"POINT (-121.3444014 37.933703)"
"156",2012,"San Luis Obispo County",6079,"CA",14.1,38160,"130%","SNAP","185%","Other Nutrition Program","47.4%","15.7%","36.9%","NA","21.1%","10,680","59%","41%",3.15,"$21,033,000.00","1",35.3871699387,-120.404113779,137008.333333333,125541.666666667,11466.6666666667,0.0836666666666667,149.05,1.63,1.52,270869,113027,6993345000,37910,14,48757,71180,17,312667000,35.27435015,-120.6124974,"POINT (-120.6124974 35.27435015)"
"157",2012,"San Mateo County",6081,"CA",11.4,82060,"130%","SNAP","185%","Other Nutrition Program","36.6%","15.1%","48.3%","NA","18.0%","28,630","48%","52%",3.09,"$44,367,000.00","1",37.4222797899,-122.328717603,410900,384100,26783.3333333333,0.065,149.05,1.63,1.46,735882,333808,50193792000,52025,2,136192,109827,2,3936946000,37.43944139,-122.3344603,"POINT (-122.3344603 37.43944139)"
"158",2012,"Santa Barbara County",6083,"CA",13.5,57020,"130%","SNAP","185%","Other Nutrition Program","60.8%","17.1%","22.0%","NA","23.3%","22,720","70%","30%",2.84,"$28,370,000.00","1",34.7247642306,-120.022280302,215475,197133.333333333,18366.6666666667,0.0854166666666667,149.05,1.63,1.21,426105,173687,12222334000,34528,27,67468,66339,22,666299000,34.42119106,-119.6988197,"POINT (-119.6988197 34.42119106)"
"159",2012,"Santa Clara County",6085,"CA",12.6,225970,"130%","SNAP","185%","Other Nutrition Program","40.7%","14.4%","44.9%","NA","19.7%","84,710","50%","50%",3.04,"$120,148,000.00","1",37.2314656159,-121.694370762,955975,879450,76516.6666666667,0.0799166666666667,149.05,1.63,1.41,1826878,819369,99204820000,49921,3,344301,109309,3,6704484000,37.23423826,-121.7317226,"POINT (-121.7317226 37.23423826)"
"160",2012,"Santa Cruz County",6087,"CA",14.8,38890,"130%","SNAP","185%","Other Nutrition Program","50.8%","14.9%","34.3%","NA","23.8%","13,100","61%","39%",3.2,"$21,785,000.00","1",37.0562738337,-122.001503233,141800,124741.666666667,17050,0.1205,149.05,1.63,1.57,268796,116724,7948927000,34951,25,43878,74450,13,396274000,37.02159755,-121.9471295,"POINT (-121.9471295 37.02159755)"
"161",2012,"Shasta County",6089,"CA",18.1,32180,"130%","SNAP","185%","Other Nutrition Program","53.9%","21.8%","24.4%","NA","27.8%","11,040","76%","24%",2.65,"$14,921,000.00","1",40.7638035968,-122.040258069,75900,64966.6666666667,10933.3333333333,0.144083333333333,149.05,1.63,1.02,178519,67554,3094566000,32470,30,31813,55114,41,97290000,40.53502155,-122.5021643,"POINT (-122.5021643 40.53502155)"
"162",2012,"Sierra County",6091,"CA",17.2,540,"130%","SNAP","185%","Other Nutrition Program","48.4%","13.1%","38.6%","NA","30.2%","160","51%","49%",2.94,"$278,000.00","1",39.5802326921,-120.5158689,1467.5,1253.33333333333,214.166666666667,0.14625,149.05,1.63,1.31,3114,1075,55203000,36624,21,547,55163,40,1653000,39.56316056,-120.7739513,"POINT (-120.7739513 39.56316056)"
"163",2012,"Siskiyou County",6093,"CA",19.6,8750,"130%","SNAP","185%","Other Nutrition Program","57.0%","24.7%","18.3%","NA","30.2%","2,770","77%","23%",3,"$4,599,000.00","1",41.5927766918,-122.540597429,18853.3333333333,15865.8333333333,2990,0.158583333333333,149.05,1.63,1.37,45378,15933,660416000,29804,44,7658,47817,48,17849000,41.40245364,-123.1750119,"POINT (-123.1750119 41.40245364)"
"164",2012,"Solano County",6095,"CA",15.3,63430,"130%","SNAP","185%","Other Nutrition Program","39.2%","15.7%","45.1%","NA","21.6%","21,840","56%","44%",2.74,"$30,402,000.00","1",38.2809617098,-121.925388545,202241.666666667,180258.333333333,21975,0.1085,149.05,1.63,1.11,419347,167935,9845698000,40555,10,68073,75320,12,331451000,38.17681839,-122.0352986,"POINT (-122.0352986 38.17681839)"
"165",2012,"Sonoma County",6097,"CA",13.4,64790,"130%","SNAP","185%","Other Nutrition Program","46.5%","17.8%","35.7%","NA","21.5%","22,840","61%","39%",3.07,"$34,819,000.00","1",38.5285599879,-122.887483333,245666.666666667,223566.666666667,22108.3333333333,0.0900833333333333,149.05,1.63,1.44,488487,213304,13851336000,38506,12,85380,73290,15,640264000,38.49367199,-122.9302632,"POINT (-122.9302632 38.49367199)"
"166",2012,"Stanislaus County",6099,"CA",17.6,90820,"130%","SNAP","185%","Other Nutrition Program","61.6%","16.9%","21.5%","NA","29.5%","43,360","76%","24%",2.72,"$43,247,000.00","1",37.5596231173,-120.997728951,241650,205108.333333333,36550,0.15125,149.05,1.63,1.09,523197,183257,9013498000,32077,32,79527,55833,37,293416000,37.50148783,-121.2164803,"POINT (-121.2164803 37.50148783)"
"167",2012,"Sutter County",6101,"CA",19.1,18110,"130%","SNAP","185%","Other Nutrition Program","55.8%","22.6%","21.6%","NA","30.3%","7,850","80%","20%",2.49,"$7,902,000.00","1",39.0347176537,-121.694837777,45516.6666666667,37750,7758.33333333333,0.170416666666667,149.05,1.63,0.86,96687,33975,1623488000,31014,37,16031,50460,44,49484000,39.01131111,-121.7233341,"POINT (-121.7233341 39.01131111)"
"168",2012,"Tehama County",6103,"CA",17.9,11320,"130%","SNAP","185%","Other Nutrition Program","63.4%","23.9%","12.6%","NA","30.3%","4,860","85%","15%",2.82,"$5,587,000.00","1",40.1257489332,-122.234030581,25211.6666666667,21693.3333333333,3516.66666666667,0.139666666666667,149.05,1.63,1.19,63336,18514,850658000,28370,52,8515,46166,52,32728000,40.25506437,-122.2937715,"POINT (-122.2937715 40.25506437)"
"169",2012,"Trinity County",6105,"CA",18.7,2560,"130%","SNAP","185%","Other Nutrition Program","55.2%","22.0%","22.8%","NA","30.8%","820","78%","22%",2.76,"$1,238,000.00","1",40.6506363021,-123.112687957,5325,4534.16666666667,792.5,0.149083333333333,149.05,1.63,1.13,13432,4162,174295000,28287,53,1916,45687,53,6961000,40.84092907,-122.972844,"POINT (-122.972844 40.84092907)"
"170",2012,"Tulare County",6107,"CA",17.7,78240,"130%","SNAP","185%","Other Nutrition Program","80.6%","12.2%","7.2%","NA","32.7%","46,940","87%","13%",2.64,"$36,169,000.00","1",36.2204314354,-118.800475359,201066.666666667,168075,32991.6666666667,0.163916666666667,149.05,1.63,1.01,452473,147577,5977389000,26010,57,59228,45382,54,190865000,36.28254312,-118.2652098,"POINT (-118.2652098 36.28254312)"
"171",2012,"Tuolumne County",6109,"CA",15.7,8660,"130%","SNAP","185%","Other Nutrition Program","45.1%","17.6%","37.2%","NA","24.5%","2,350","69%","32%",3.47,"$5,259,000.00","1",38.0277827472,-119.954608354,22279.1666666667,19340.8333333333,2939.16666666667,0.131666666666667,149.05,1.63,1.84,54101,21015,1030985000,32319,31,9534,55568,38,33297000,37.96385957,-119.8920735,"POINT (-119.8920735 37.96385957)"
"172",2012,"Ventura County",6111,"CA",11.6,95200,"130%","SNAP","185%","Other Nutrition Program","47.5%","16.0%","36.5%","NA","21.3%","44,870","58%","42%",3.08,"$51,337,000.00","1",34.4716370318,-119.078252096,433675,393575,40100,0.0924166666666667,149.05,1.63,1.45,833366,352433,24794348000,37360,18,145827,77340,10,1159862000,34.27709072,-119.2178496,"POINT (-119.2178496 34.27709072)"
"173",2012,"Yolo County",6113,"CA",16.9,33920,"130%","SNAP","185%","Other Nutrition Program","57.6%","15.8%","26.5%","NA","23.7%","10,750","68%","32%",2.83,"$16,821,000.00","1",38.6870109765,-121.901509517,102391.666666667,91333.3333333333,11075,0.108,149.05,1.63,1.2,205025,76203,5057751000,38069,13,31886,75521,11,221080000,38.68382688,-121.9127421,"POINT (-121.9127421 38.68382688)"
"174",2012,"Yuba County",6115,"CA",20,14440,"130%","SNAP","185%","Other Nutrition Program","58.8%","20.5%","20.7%","NA","31.2%","6,510","80%","20%",2.52,"$6,363,000.00","1",39.269286796,-121.35122881,28791.6666666667,24300,4516.66666666667,0.15625,149.05,1.63,0.89,73156,22297,972285000,30906,39,10292,49697,47,23327000,39.27129476,-121.3793557,"POINT (-121.3793557 39.27129476)"
"175",2013,"Alameda County",6001,"CA",15.3,235570,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","63.2%","0.0%","36.8%","NA","20.7%","70,680","60%","40%",3.4,"$141,835,000.00","1",37.6448737628,-121.882288836,799850,741225,58625,0.07325,151.44,1.66,1.74,1563495,701389,57675447000,46217,8,272440,97715,4,2989539000,37.72022591,-122.1643521,"POINT (-122.1643521 37.72022591)"
"176",2013,"Alpine County",6003,"CA",16.7,190,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","71.9%","0.0%","28.1%","NA","24.8%","60","43%","57%",3.21,"$108,000.00","1",38.5979709975,-119.820210752,523.333333333333,473.333333333333,50.8333333333333,0.0985,151.44,1.66,1.55,1112,290,15659000,35999,26,139,64230,24,489000,38.58842891,-119.7124417,"POINT (-119.7124417 38.58842891)"
"177",2013,"Amador County",6005,"CA",15.4,5760,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","54.9%","0.0%","45.1%","NA","26.5%","1,610","60%","40%",3.7,"$3,768,000.00","1",38.4461173773,-120.65157196,14400.8333333333,12895.8333333333,1503.33333333333,0.104416666666667,151.44,1.66,2.04,36028,14603,784282000,37846,18,7287,61823,27,25788000,38.47216216,-120.5741948,"POINT (-120.5741948 38.47216216)"
"178",2013,"Butte County",6007,"CA",18.4,40640,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","80.0%","0.0%","20.0%","NA","27.3%","12,470","74%","26%",2.98,"$21,435,000.00","1",39.6670113073,-121.600718282,101408.333333333,90825,10583.3333333333,0.1045,151.44,1.66,1.32,221416,79572,3982518000,31630,36,33202,58764,34,134764000,39.59127291,-121.6728818,"POINT (-121.6728818 39.59127291)"
"179",2013,"Calaveras County",6009,"CA",15.2,6870,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","55.5%","0.0%","44.5%","NA","23.2%","1,990","44%","56%",3.6,"$4,380,000.00","1",38.2050147927,-120.553756737,20187.5,18157.5,2030.83333333333,0.10075,151.44,1.66,1.94,44852,17414,956329000,37833,19,8945,60358,29,33230000,38.25462698,-120.4657376,"POINT (-120.4657376 38.25462698)"
"180",2013,"Colusa County",6011,"CA",14.8,3150,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","90.7%","0.0%","9.3%","NA","29.0%","1,810","85%","15%",4,"$2,230,000.00","1",39.1775362451,-122.237100273,11269.1666666667,9114.16666666667,2155,0.19175,151.44,1.66,2.34,21665,8763,439158000,31123,44,3938,48151,51,16737000,39.16798125,-122.2990667,"POINT (-122.2990667 39.16798125)"
"181",2013,"Contra Costa County",6013,"CA",12.9,137910,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","60.7%","0.0%","39.3%","NA","19.8%","51,540","56%","44%",3.31,"$80,710,000.00","1",37.9155346665,-121.927176832,536033.333333333,495291.666666667,40733.3333333333,0.076,151.44,1.66,1.65,1081948,452448,40694258000,48219,5,189382,96748,5,2171758000,37.98817952,-121.9371402,"POINT (-121.9371402 37.98817952)"
"182",2013,"Del Norte County",6015,"CA",19.2,5460,"200%","SNAP, Other Nutrition Programs","200%","SNAP, Other Nutrition Programs","72.3%","0.0%","27.7%","NA","30.6%","1,860","80%","20%",3.24,"$3,127,000.00","1",41.7434380162,-123.896950371,10299.1666666667,9065,1234.16666666667,0.119833333333333,151.44,1.66,1.58,28225,7921,352256000,31242,42,3483,54680,41,10041000,41.70557047,-123.8920045,"POINT (-123.8920045 41.70557047)"
